"reg","SAVA","BORF","TEMF","AGRI","DEFO_largeFires","DEFO_smallFires","PEAT"
"CAZ",0.0155637843032088,0.0212753600588269,0.0049492253600745,0.00591264714280072,2.06660881261307,0.00349015586528647,0.00040791885419707
"CHA",0.00162863494677991,0.00232099416813796,0.00548757974392399,0.0139544104782934,0,0.00349015586528647,7.03599331533588e-06
"EUR",0.00245417252158395,1.01708461792855e-05,0.00087866958132418,0.00501587363272834,0,0.00349015586528647,2.25826324157141e-07
"IND",0.0102428011684421,0,0.0129751744671994,0.00417644607879763,1.13744281965631,0.00349015586528647,0
"JPN",0.000414975054276648,0,0.0025894411270377,0.00310019063461367,0,0.00349015586528647,0
"LAM",0.0392940120026799,0,0.00110792227365032,0.0190846191602617,14.3503044425525,0.00349015586528647,0
"MEA",0.000997404138752502,0,3.0140097694608e-05,0.00575193139604875,0.00282044525896689,0.00349015586528647,0
"NEU",0.000712893622437325,4.66852371066674e-07,0.00060704653830241,0.00682822431360885,0,0.00349015586528647,0
"OAS",0.0362460464377117,0.0028146719575567,0.00295015966039865,0.0122162009330092,52.1055363182384,0.00349015586528647,0.0733683280841229
"REF",0.00265366500488541,0.0241998971783374,0.000967313016020722,0.0358798645313171,0,0.00349015586528647,3.19935886361986e-05
"SSA",0.145023729758291,7.4859475436187e-07,0.00013767700419112,0.033107832875249,2.12148956584461,0.00349015586528646,0
"USA",0.00300507419196931,0.00695859642200339,0.00584277770523298,0.00494495638380734,0,0.00349015586528647,2.83356399737731e-05
