* based on regression values in Chen, D.M.C., Bodirsky, B., Wang, X., Xuan, J., Dietrich, J.P., Popp, A. and Lotze-Campen, H., 2025. Future food prices will become less sensitive to agricultural market prices and mitigation costs. Nature Food, pp.1-12.
dummy,dummy,a,b,c
livst_milk,fah,0.0015,3.31124661323801,322
livst_egg,fah,0.0015,3.76471157100757,322
others,fah,0.0015,3.7266757210586,322
tece,fah,0.0015,4.1293504719213,322
maiz,fah,0.0015,4.1293504719213,322
trce,fah,0.0015,4.1293504719213,322
rice_pro,fah,0.0015,3.20930186764121,322
brans,fah,0.0015,4.1293504719213,322
livst_rum,fah,0.0015,4.26335058049715,322
livst_pig,fah,0.0015,4.11355095877636,322
livst_chick,fah,0.0015,4.05189309757129,322
fish,fah,0.0015,4.05189309757129,322
oils,fah,0.0015,3.55004347300954,322
sugar,fah,0.0015,3.55004347300954,322
molasses,fah,0.0015,3.55004347300954,322
alcohol,fah,0.0015,3.55004347300954,322
scp,fah,0.0015,3.55004347300954,322
soybean,fah,0.0015,3.53737829130876,322
rapeseed,fah,0.0015,3.53737829130876,322
groundnut,fah,0.0015,3.53737829130876,322
sunflower,fah,0.0015,3.53737829130876,322
potato,fah,0.0015,3.53737829130876,322
puls_pro,fah,0.0015,3.53737829130876,322
cassav_sp,fah,0.0015,3.53737829130876,322
sugr_cane,fah,0.0015,3.53737829130876,322
sugr_beet,fah,0.0015,3.53737829130876,322
livst_milk,fafh,0.0023,3.31124661323801,322
livst_egg,fafh,0.0023,3.76471157100757,322
others,fafh,0.0023,3.7266757210586,322
tece,fafh,0.0023,4.1293504719213,322
maiz,fafh,0.0023,4.1293504719213,322
trce,fafh,0.0023,4.1293504719213,322
rice_pro,fafh,0.0023,3.20930186764121,322
brans,fafh,0.0023,4.1293504719213,322
livst_rum,fafh,0.0023,4.26335058049715,322
livst_pig,fafh,0.0023,4.11355095877636,322
livst_chick,fafh,0.0023,4.05189309757129,322
fish,fafh,0.0023,4.05189309757129,322
oils,fafh,0.0023,3.55004347300954,322
sugar,fafh,0.0023,3.55004347300954,322
molasses,fafh,0.0023,3.55004347300954,322
alcohol,fafh,0.0023,3.55004347300954,322
scp,fafh,0.0023,3.55004347300954,322
soybean,fafh,0.0023,3.53737829130876,322
rapeseed,fafh,0.0023,3.53737829130876,322
groundnut,fafh,0.0023,3.53737829130876,322
sunflower,fafh,0.0023,3.53737829130876,322
potato,fafh,0.0023,3.53737829130876,322
puls_pro,fafh,0.0023,3.53737829130876,322
cassav_sp,fafh,0.0023,3.53737829130876,322
sugr_cane,fafh,0.0023,3.53737829130876,322
sugr_beet,fafh,0.0023,3.53737829130876,322
