BHName,k
Milk products,livst_milk
Eggs,livst_egg
Fruit,others
Bread and cereals,tece
Bread and cereals,maiz
Bread and cereals,trce
Bread and cereals,rice_pro
Bread and cereals,brans
Meat,livst_rum
Meat,livst_pig
Meat,livst_chick
Meat,fish
Processed,oils
Processed,oilpalm
Processed,sugar
Processed,molasses
Processed,oilcakes
Processed,alcohol
Processed,scp
Vegetables,soybean
Vegetables,rapeseed
Vegetables,groundnut
Vegetables,sunflower
Vegetables,potato
Vegetables,puls_pro
Vegetables,cassav_sp
Vegetables,sugr_cane
Vegetables,sugr_beet
Vegetables,Vegetables
